Codigo_Item_Ama,Nome_Ama,Desc_Ama,Espacos_Ama,Categoria_Ama,DT_Ama,Elemento_Ama,Fonte_Ama,Vestimenta?,Bonus_Vestimenta
48,"Anel Invertido","Um anel de aparência sinistra. Parece querer se prender ao seu dedo e torná-lo mais forte para que possa observá-lo sofrer por períodos mais longos. Se estiver usando o anel, quando sofrer dano causado por um nidere, você pode gastar uma reação e 2 PE para receber RD 4d10 contra esse dano.",0.5,III,,Morte,AS,,
49,Faixas da Vidência,"Uma faixa de tecido preto com pequenas espirais gravadas em suas bordas. Esta vestimenta distorce a percepção do tempo ao redor do usuário, deixando ele mais atento a coisas próximas, mas alheio à coisas distantes. Você recebe +5 na Defesa e em testes de resistência contra ataques e habilidades que tenham origem em alcance curto de você, mas sofre –5 na Defesa e em testes de resistência contra ataques e habilidades que tenham origem além de 9m de você. Além disso, recebe +2 em Intimidação.",1,III,,Morte,AS,TRUE,+2 em Intimidação
50,"Joias da Mente",Um piercing e um brinco dourados com Sigilos de Conhecimento em toda sua extensão. Esta vestimenta fornece +2 em Diplomacia e resistência mental 10. Ela só funciona se o usuário estiver vestindo as duas peças (piercing e brinco) que contam como uma única vestimenta.,1,III,,Conhecimento,AS,TRUE,+2 em Diplomacia e resistência mental 10
51,Elmo do Colosso,"Um elmo de escafandro trabalhado em metal e imbuído com uma forte pressão eletrostática criada a partir da Energia. O Elmo é uma vestimenta que fornece resistência a dano 5. Se usado em conjunto com o resto do equipamento de escafandro, conta como um traje de mergulho (SaH, p. 44).",2,III,,Energia,AS,TRUE,Resistência a dano 5
52,Granada Ctrl+C Ctrl+V,"Uma granada de fragmentação transparente envolta por fios de cobre que parece tremeluzir e ameaçar uma explosão a cada segundo. Este item é uma granada. Para usá-lo, você precisa empunhá-lo e então gastar uma ação padrão para arremessá-lo em um ponto à sua escolha em alcance médio. Ele afeta um raio de 6m a partir do ponto de impacto, espalhando fragmentos de Energia. Seres na área sofrem 8d6 pontos de dano de Energia (Reflexos DT Agi reduz à metade). Quando esta granada explodir, role 1d4. Se o resultado for par, a explosão gera uma segunda granada idêntica que explode em outro espaço a sua escolha dentro da área de efeito da granada original. O processo se repete até a quarta explosão ou até que o d4 dê ímpar (o que acontecer primeiro).",2,I,"Reflexos, AGI",Energia,AS,,
53,"Skate Caótico","Um skate com sigilos e raios verdes em sua parte inferior. Este item tem diversas utilidades.
A primeira delas é como meio de transporte. Um personagem que saiba andar em um desses (treinado em Acrobacia, Atletismo ou Pilotagem), pode usá-lo nos pés para receber +3m de deslocamento.
A segunda é como uma arma improvisada (OPRPG, p. 57), corpo a corpo, de duas mãos (Dano 1d12 impacto; Crítico x2).
A terceira é como um escudo com uma espécie de ""consciência caótica"" dentro dele que fornece +5 na Defesa do usuário. Para modificações e maldições, considere ele apenas como uma proteção.",2,II,,Energia,AS,,
54,Tênis Lépidos,"Um par de tênis próprios para andar de skate com partes queimadas e cabos neon passando ao seu redor. Esta vestimenta fornece +12 em testes de Atletismo e +3m de deslocamento. Você pode gastar 2 PE para se mover de forma sobrenatural. Até o final do turno, você ignora terreno difícil, recebe deslocamento de escalada igual a seu deslocamento terrestre e fica imune a dano por queda de até 9m.",3,II,,Energia,AS,TRUE,+12 em testes de Atletismo e +3m de deslocamento
55,Dentadura Vampírica,"Dentes caninos removidos diretamente de um vampiro. Gastando 2 PE e uma ação padrão, você morde uma pessoa, causando 2d6 pontos de dano de perfuração e garantindo um número de pontos de vida temporários igual ao dano causado. Ao vestir este item por uma semana, você herda uma das fraquezas do vampiro que o originou.",0,II,,Sangue,Homebrew,,
56,Dinheiro Sujo,"Um maço de dinheiro coletado de maneira extremamente dúbia e marcado com pequenos símbolos paranormais de Sangue. Este é um item consumível com 2 usos. Personagens subornados com este item devem fazer um teste de Vontade contra o valor máximo que você pode tirar num teste de Diplomacia, +5. Se falhar, uma ganância extrema toma conta de sua mente e ele se torna Prestativo pelo resto da cena. Não pode ser usado em personagens Hostis.",2,II,,Sangue,Homebrew,,
57,"Máscara do Assassino Regicida","Milionários e bilionários são a escória da terra. Eles acumulam quantidades absurdas de recursos e dinheiro, deixando os ""pobres"" para morrer de fome enquanto festejam em seus iates. Mas quando o povo não tiver mais nada para comer, eles comerão os ricos. Essas são as intenções impregnadas nesta máscara feita de uma cabeça de porco decepada e esvaziada. Vestir a máscara custa uma ação de movimento e 6 de Sanidade, e você sofre 2 pontos de dano de Sanidade por rodada até removê-la. Ao vestí-la, você sofre os seguintes efeitos:
• Você recebe +20 PV, +10 PE (ambos atual e máximo) e +10 na defesa;
• Você sofre o efeito do ritual Ódio Incontrolável Discente sempre que estiver na presença de uma pessoa que você considera como rica;
• Você recebe o poder paranormal Devorar (se não o tiver) e o dano dele aumenta em 3d6 contra pessoas que você considera como ricas.",1,III,,Sangue,Homebrew,TRUE,"+20 PV, +10 PE (ambos atual e máximo) e +10 na defesa"
58,"Flecha Solitária","Uma flecha carregada de sentimentos acumulados durante uma vida solitária, onde a sobrevivência era a única coisa que importava.
Carregar esta flecha num arco ou balestra custa 2PE. Ao atirar, ela sempre acertará o alvo, contanto que esteja no alcance da arma, ignorando cobertura parcial e camuflagem. Além disso, há sempre 25% de chance de um ataque com esta flecha ser crítico (o dobro da margem de ameaça da arma é convertida em pontos de dano de Morte adicionais ao acertar um crítico com a flecha).",0.5,II,,Morte,Homebrew,,
59,Lança Teias,"Utilizando os restos recolhidos do campo de batalha onde foi derrotada uma Aracnasita, este dispositivo de pulso dispara teias de lodo de forma variada. Este item possui 5 usos. Ao usá-lo 5 vezes, ele conta como um item quebrado e você deve usar uma ação de interlúdio para repará-lo. Gastando 1 PE e uma ação padrão, você pode realizar uma das seguintes ações:
*Arpear:* faça um teste de Pontaria de DT10+2 para cada 3 metros que seu alvo está de você. O alvo é um ponto numa parede ou teto. Se passar, você agora possuí o que seria basicamente uma corda de arpéu até o lugar que atingiu.
*Prender:* faça um teste de Pontaria contra um teste de Reflexos de um ser Médio ou menor. Se você ganhar, o alvo fica Agarrado. Em cada um de seus turnos, o alvo pode usar uma ação de Movimento para fazer um teste de Atletismo com DT igual ao resultado do seu teste de Pontaria inicial, se passar, se livra da teia. Criaturas de Energia são imunes à essa habilidade.
*Laçar:* faça um teste de Pontaria de DT10+3 para cada 3 metros que seu alvo está de você. O alvo é um objeto pequeno ou menor. Se passar, você puxa o item para sua mão. Caso o item esteja sob posse de um ser e você passar no teste de Pontaria, você deverá fazer um teste oposto de Força contra o ser, se ganhar, você puxa o objeto.
Teias lançadas por esse item possuem 50 pontos de vida e são imunes a todo dano que não seja de Fogo ou Energia. Atacar as teias envolvendo um alvo transfere um terço do dano causado ao alvo em questão.
",1,II,,Morte,Homebrew,,
60,"Proteção Torácica","Uma caixa toráxica que consiste de 5 pares de costelas que podem ser vestidas por cima da roupa. Concede +10 na defesa, mas sempre que um ataque contra você que causaria dano Balístico, de Corte, de Impacto, de Perfuração, de Fogo ou de Energia erra, 2 pontos dessa defesa adicional são perdidos. Se a quantidade de pontos de defesa fornecidos pela proteção torácica chegar em 0, você se torna vulnerável a esses tipos de dano. Numa cena de interlúdio, você pode gastar uma ação para recuperar até 6 pontos de defesa perdidos, mas não pode recuperar Sanidade por nenhuma fonte nessa cena. Se despir deste item sem causar dano ao portador demanda cuidado extremo, então requer uma ação de interlúdio.",3,III,,Morte,Homebrew,TRUE,+10 de defesa
61,Mini Acelerador de Partículas,"Este pequeno objeto metálico em formato do símbolo do infinito absorve energia potencial ao se mover e a converte em ainda mais energia. Enquanto estiver o portando, você pode gastar 2PE para receber +1,5m de deslocamento temporário em cada rodada seguida que você se mover pelo menos metade de seu deslocamento total. Por exemplo, um agente que tem deslocamento de 9m se move 4,5m numa rodada, portanto, agora tem um total de 10,5m de deslocamento, e deve se mover pelo menos 6m na próxima rodada para aumentar esse valor. Ao fim da cena, ou ao fim de uma rodada que você não se moveu o suficiente, você sofre dano de Morte igual a 1 para cada 1,5m de deslocamento que você possui.",2,II,,Morte,Homebrew,,
62,Máscara do Assassino Sobrevivente,"A morte está sempre na esquina, e poucas são as formas de repeli-la. Uma delas é a alimentando, levando aqueles que merecem ao seu fim precoce, para que seu próprio fim tenha sua data adiada. Essas são as intenções impregnadas nesta máscara metálica, moldada para se encaixar num rosto, e um rosto apenas: o rosto de alguém que já viu demais.. Ao usar a máscara, você sofre os seguintes efeitos:
• Você recebe 2d10 pontos de vida temporários para cada ser que matar na cena. Esses PVs temporários somem ao fazer uma ação de interlúdio.
• Qualquer dano de Morte que você causar aumenta em 2 dados do mesmo tipo.
• Você recebe +2d20 em testes de Percepção para perceber armadilhas.
• Se você falhar no teste de Vontade da Presença Perturbadora de uma criatura paranormal, jogue 1d6. Você reduz o valor do dado em todos os testes realizados contra a criatura.",1,III,,Morte,Homebrew,TRUE,+2d20 em testes de Percepção para perceber armadilhas
63,Capa da Grande Majestade,"Um manto de tecido leve e luxuoso mas, principalmente, paranormalmente imponente. Inimigos que podem te ver sofrem -5 em testes de ataque contra você enquanto você estiver vestindo este item. Se usado em conjunto com a Coroa da Grande Majestade, inimigos sofrem um total de -7 em testes de ataque.",1,II,,Conhecimento,Homebrew,TRUE,
64,Coroa da Grande Majestade,"Esta coroa dourada e adornada com jóias raras exala uma aura de comando irresistível à pessoas comuns. Como ação completa, você se dirige a um grupo de pelo menos 5 pessoas em alcance médio num discurso exaltando sua grandeza e autoridade. Todos devem fazer um teste de Vontade contra sua DT de Presença. Todos que falharem estarão sob seu controle completo até o fim da cena (apenas não obedecem ordens suicidas) e se tornam Prestativos em relação à você até o fim da missão. Fazer essa ação custa 3 PE por alvo. O mestre pode decidir aumentar a DT do teste baseado em o quão convincente seu discurso foi. Se usado em conjunto com a Capa da Grande Majestade, a DT aumenta em 2.",1,III,"Vontade, PRE",Conhecimento,Homebrew,TRUE,"Caso o item ""Capa da Grande Majestade"" estiver sendo vestido ao mesmo tempo que essa coroa, a DT aumenta em +2"
65,Lampião do Caronte,"Um antigo lampião de prata que está sempre aceso e parece carregar em volta de si uma leve neblina. Quando perdido, você pode gastar uma ação padrão e 3 PE para fazer um teste de Ocultismo (DT 15). Se passar, o lampião projeta sua luz na direção da ""saída"" mais próxima de seu predicamento. Por exemplo, se estiver perdido em uma floresta, o lampião aponta para a civilização mais próxima. Você recebe +1d20 em seu teste de Ocultismo se estiver em alto mar.",1,II,"Ocultismo, 15",Conhecimento,Homebrew,,
66,Óculos da Consciência,"Estes óculos carregam uma tentativa desesperada de manter a vida de alguém que não existe mais. Uma transcrição completa de suas memórias e personalidade foram cuidadosamente cravadas nas lentes. Ao vestir esses óculos, você toma a personalidade e memórias da pessoa que originou este item. Você ou o mestre deve fazer uma versão alternativa de sua ficha, com os parâmetros da outra pessoa. Apenas aspectos mentais podem mudar, como os atributos de Intelecto e Presença, perícias baseadas neles, etc. Ao remover os óculos, você deve fazer um teste de Vontade contra a DT de Presença da consciência presa nos óculos, se falhar, sofre 3d6 pontos de dano Mental que ignora resistência conforme a pessoa tenta clamar seu corpo para si. Passar no teste reduz o dano pela metade. Chegar à 0 de Sanidade através desse dano faz com que a outra consciência tome conta permanentemente. Existem histórias que dizem que consciências presas nestes óculos tendem a se corromper com o tempo, conforme a existência incorpórea que a assola a leva à loucura.",0.5,III,"Vontade, PRE",Conhecimento,Homebrew,,
67,Tomo dos Sussurros,"Um velho livro com capa de couro que parece sussurrar palavras inteligíveis à todo momento. Você pode gastar 5 PE para abrí-lo em uma página qualquer enquanto mentaliza uma pessoa em específico. A página, então, se preenche com informações sobre a pessoa escolhida, te dando conhecimento quase completo sobre o alvo. Após isso, o tomo se torna impossível de ser aberto até entrar em alcance curto do alvo. Ao entrar dentro desse alcance, você sofre o ritual Sussurros Ensurdecedores (DT20 para resistir) até se afastar. Sempre que se aproxima novamente, o ritual volta a ter efeito (você tem direito a apenas um teste de resistência contra esse efeito por dia).",1,IV,,Conhecimento,Homebrew,,
68,A Chave Mestra,"Uma pequena chave dourada coberta de sigilos e com a ponta extremamente complicada.
Você pode gastar uma ação de interlúdio e 10 PE para marcar uma porta de tamanho médio ou maior a qual tenha acesso. Se a porta puder ser trancada, você deve possuir uma cópia da chave dela. Ao inserir a chave em uma porta marcada e abri-la, enquanto mentaliza uma porta também marcada, seu destino se torna a porta mentalizada. Você pode ter um número de portas marcadas igual ao seu Intelecto.
Este é um item único.","0,5",III,,Energia,Homebrew,,
69,"Aparato de Criação de Fendas Intradimensionais (A.C.F.I.)","Criado por um cientista paranormal desconhecido, este objeto no formato do que lembra uma arma de fogo coberta de adições tecnológicas é capaz de criar duas fendas ligadas entre si na realidade. Enquanto incomum, alguns que atravessam uma dessas fendas, nunca saem do outro lado… Ou talvez, seja lá mesmo que eles vão parar.
Enquanto estiver empunhando o A.C.F.I., você pode gastar uma ação padrão e 5 PE para criar uma fenda numa superfície. A fenda é grande o suficiente para que seres médios ou menores a atravessem, e a superfície deve ser lisa e grande o suficiente para suportá-la, além de estar em alcance médio de você, num lugar que possa ver e que um ser minúsculo poderia alcançar (não pode alcançar através de vidro, por exemplo).
Essa fenda não pode ser atravessada ainda, para isso, você deve, na mesma cena, gastar mais uma ação padrão para criar uma segunda fenda, que deve estar em alcance médio da primeira. Uma fenda é dissipada se for a primeira e você não criar uma segunda até o fim da cena ou se você se afastar dela mais que alcance médio (mesmo se não estiver portando o A.C.I.F.).
Em caso de uma fenda ser dissipada e outra se manter ativa, você tem até o fim da cena para gastar uma ação padrão e 5 PE para criar uma nova. Se você ativar o A.C.I.F. enquanto duas fendas estão ativas, você escolhe qual das anteriores será dissipada (pode escolher dissipar ambas), contanto que a nova esteja em alcance médio da restante.
Atravessar uma fenda para sair na outra causa um leve sentimento de desconforto, como se seu corpo brevemente visitasse um lugar que não deveria. Quando um ser atravessa uma fenda, o mestre deve jogar 1d100, se o resultado for 1, o ser é transportado para o interior de uma Anomalia.",2,IV,,Energia,Homebrew,,
70,"Armadura Robótica Inteligente","Uma armadura metálica que cobre o corpo todo e possui diversos aparatos robóticos acoplados. Quando pega este item, escolha um tipo entre Robusta, Esguia ou Mística:
• *Robusta:* A armadura fornece os benefícios de uma proteção pesada, além de +30 PV, +1 na Força e RD 10. Além disso, gastando uma ação padrão, você ativa uma arma energética poderosa pelo resto da cena. É uma arma corpo a corpo tática de duas mãos que causa 4d12 pontos de dano de Energia e tem crítico 18/x3. Enquanto esta arma estiver ativada, você recebe +10 em testes de ataque, mas se torna vulnerável a dano Balístico, de Corte, de Impacto e de Perfuração.
• *Esguia:* A armadura fornece os benefícios de uma proteção leve, além de, +1 na Agilidade e +15 em Reflexos. Além disso, gastando uma ação padrão, você ativa uma arma energética poderosa pelo resto da cena. É uma arma de fogo tática de duas mãos que causa 3d10 pontos de dano de Energia em alcance Médio e tem crítico 18x2. Enquanto esta arma estiver ativada, você recebe +10 em testes de ataque, mas se torna vulnerável a dano Balístico, de Corte, de Impacto e de Perfuração.
• *Mística:* A armadura fornece os benefícios de um Catalisador Ritualístico de Energia à sua escolha em todos os rituais desse elemento que conjurar enquanto a vestir, além de +1 na Presença e no Intelecto. Além disso, usando uma ação padrão, você ativa um campo protetor ao seu redor. Seres adjacentes a você devem fazer um teste de resistência de Fortitude (DT Pre) por rodada, se falharem, sofrem 4d10 pontos de dano de Energia e são arremessados 3m para longe de você (+1,5m se falharem por mais de 5, 3m se falharem por mais de 10, e assim vai). Enquanto este campo estiver ativado, você recebe RD 30 contra ataques em alcance médio ou mais longe, mas se torna vulnerável a dano de ataques em alcance curto ou adjacente (ambos apenas dano Balístico, de Corte, de Impacto e de Perfuração).
Esta armadura leva uma ação de Interlúdio para vestir ou remover, e passa a pesar 0 quando você está a vestindo.",7,IV,,Energia,Homebrew,,
71,Cubo Incompreensível,"Um cubo metálico semelhante a um cubo mágico que, de forma incompreensível, pode ser rotacionado em todas as direções e constantemente muda sua forma geométrica. Este item conta como um ingrediente ritualístico de Energia. Rituais de Energia conjurados com este item empunhado tem sua natureza caótica intensificada. Qualquer ritual que tenha um efeito que inclua um número fixo tem seu efeito alterado para um dado com uma quantidade de lados igual ao dobro do efeito original +1, com o maior resultado representando 0. Por exemplo, normalmente o ritual de Coincidência Forçada em sua forma base fornece +2 em todos os testes de perícia. Ao conjurá-lo através do cubo, seu efeito muda. Você rola 1d5. Se o resultado for entre 1 e 4, o bônus muda para o resultado do dado, portanto, se o resultado do dado for 3, você recebe +3 em todos os testes de perícia. Se o resultado for 5, porém, o bônus se torna 0, ou seja, o ritual essencialmente falha. Esta mudança se aplica a qualquer número fixo em um ritual (incluindo quantidades de dados, mas não seu tipo), exemplos são a quantidade de modificações que o ritual Amaldiçoar Tecnologia fornece, bem como os bônus fornecidos pelas modificações, a quantidade de laços criados pelo ritual Contenção Fantasmagórica, etc.",1,III,,Energia,Homebrew,,
72,Kamikaze,"Um leve colete metálico que pode ser vestido por baixo da roupa. Ele fornece +2 na Defesa. Além disso, uma única vez, você pode gastar uma ação padrão para conjurar o ritual Deflagração de Energia sem custo. O ritual é conjurado normalmente em sua forma base, porém, você sofre todo o dano causado pelo ritual, sem direito à teste de resistência.",1,II,,Energia,Homebrew,TRUE,+2 de defesa
73,O Coringa,"Uma carta de baralho que é confortavelmente escondida em sua manga. Usando uma ação de movimento, você puxa a carta de sua manga e a conta uma piada. O mestre decide se a carta achou a piada engraçada e, se achou, jogue um d2 e um d4. O resultado do d4 define o naipe do efeito, entre 1) Espadas, 2) Copas, 3) Ouros e 4) Paus, enquanto o d2 define se o efeito será 1) Positivo ou 2) Negativo para o alvo. O alvo é decidido aleatóriamente entre todas as criaturas em alcance curto, incluindo você. Os efeitos dos naipes são:
– *Espadas:* alvo causa +1d20 pontos de dano de Energia em seu próximo ataque ou sofre 1d20 pontos de dano de energia que ignora resistência.
– *Copas:* alvo recupera 1d20 pontos de vida ou converte o dano de seu próximo ataque em pontos de vida para seu alvo.
– *Ouros*: alvo recupera 1d20 PE ou perde 1d20 PE.
– *Paus:* alvo tem vantagem em todos os testes até o fim da cena ou tem desvantagem até o fim da cena.
Alternativamente, jogue um d2 e pegue uma carta de um baralho embaralhado, e olhe o naipe da carta sacada.",0.25,II,,Energia,Homebrew,,
74,Máscara do Assassino Purificador,"Humanos são seres podres, imundos. Uma corrupção doente tomou as almas de todos os que não percebem o quanto aqueles em sua volta são corroídos. Cabe a você limpá-los, custe o que custar. Essas são as intenções impregnadas nessa máscara semelhante a uma máscara de respiração que se conecta a um tanque cheio de produtos tóxicos e ácidos. Vestir a máscara custa uma ação de movimento e 6 de Sanidade, e você sofre 2 pontos de dano de Sanidade por rodada até removê-la. Ao vestí-la, você sofre os seguintes efeitos:
• Você recebe +20 PV, +10 PE (ambos atual e máximo) e +10 na defesa;
• Você recebe +2d20 em testes de ataque contra alvos que sofreram dano químico nesta cena.
• Todos os seus ataques causam +4d6 pontos de dano Químico adicionais.
• Você recebe os efeitos de uma máscara de gás e um traje de mergulho.",1,III,,Energia,Homebrew,TRUE,"+20 PV, +10 PE (ambos atual e máximo) e +10 na defesa"
75,Troféu Macabro,"Uma lembrança de uma vítima, mantida por seu assassino durante os anos. Os sentimentos nos últimos momentos de vida dessa vítima se impregnaram neste item, que pode ser qualquer coisa (uma peça de bijuteria, um pertence importante, um órgão, etc). Se você for o responsável pela morte da pessoa que originou este item, ao empunhar este item você é tomado por um orgulho e confiança extremas, te garantindo +2d20 em todos os testes, porém, sempre que falhar um teste, você sofre 2d6 pontos de dano de Medo.
Se você não for o assassino, ao invés disso, você é acometido pelo desespero guardado neste item. Você recebe +2d20 em testes durante cenas de Perseguição e Furtividade, porém, se tiver sua Sanidade reduzida à 0, deve obrigatoriamente se entregar para o medo.
Empunhar este item causa 1 ponto de dano de Sanidade por rodada.",1,II,,Medo,Homebrew,,
