Codigo_Item,Grupo_Item,Nome_Item,Desc_Item,Categoria_Item,Espacos_Itens,Dt_Item,Fonte_Item
78,Itens Paranormais,Catalisador Ritualístico Perturbador,"Componentes ritualísticos que já foram alterados através de exposição paranormal e por isso são mais eficientes. Ao contrário de componentes comuns, um catalisador é consumido ao ser usado. Existem diversos tipos de catalisadores, uma para cada elemento. Você precisa estar empunhando um catalisador para usá-lo e só pode usar um catalisador por ritual. Por sua natureza, catalisadores não podem ser improvisados, como pela habilidade Improvisar Componentes, mas ainda podem ser fabricados em campo (veja p. 94).

*Perturbador:* A DT para resistir ao ritual aumenta em +2.",I,"0,5",,SaH
79,Itens Paranormais,Catalisador Ritualístico Potencializador,"Componentes ritualísticos que já foram alterados através de exposição paranormal e por isso são mais eficientes. Ao contrário de componentes comuns, um catalisador é consumido ao ser usado. Existem diversos tipos de catalisadores, uma para cada elemento. Você precisa estar empunhando um catalisador para usá-lo e só pode usar um catalisador por ritual. Por sua natureza, catalisadores não podem ser improvisados, como pela habilidade Improvisar Componentes, mas ainda podem ser fabricados em campo (veja p. 94).

*Potencializador:* O dano do ritual aumentaem um dado do mesmo tipo.",I,"0,5",,SaH
80,Itens Paranormais,Catalisador Ritualístico Prolongador,"Componentes ritualísticos que já foram alterados através de exposição paranormal e por isso são mais eficientes. Ao contrário de componentes comuns, um catalisador é consumido ao ser usado. Existem diversos tipos de catalisadores, uma para cada elemento. Você precisa estar empunhando um catalisador para usá-lo e só pode usar um catalisador por ritual. Por sua natureza, catalisadores não podem ser improvisados, como pela habilidade Improvisar Componentes, mas ainda podem ser fabricados em campo (veja p. 94).

*Prolongador:* A duração do ritual dobra. Por exemplo, um Distorcer Aparência prolongado tem sua duração aumentada para duas cenas. Não funciona para rituais instantâneos ou sustentados.",I,"0,5",,SaH
81,Itens Paranormais,Ligação Direta Infernal,"Um amontoado de fios de cobre contaminados com Sangue e Energia. Você pode gastar uma ação completa para usar os fios para ligar um veículo automaticamente. Isso faz os fios invadirem os controles do veículo animando-o de forma paranormal; o veículo recebe resistência a dano 20 (cumulativa com qualquer RD que já possua) e imunidade a Sangue, e você recebe +5 em testes de Pilotagem para conduzi-lo. Entretanto, nesse estado o veículo tentará causar o máximo de confusão possível; as consequências de qualquer falha nos testes de Pilotagem são amplificadas a critério do mestre (de forma geral, qualquer dano ou penalidade causado por uma falha é dobrado). Remover a ligação direta infernal de um veículo é uma ação completa.",II,1,,SaH
82,Itens Paranormais,Medidor de Condição Vertebral,"Este item grotesco é uma coluna vertebral sustentada por Lodo de Morte e revestida com cabos e fios de Energia. Para ser usado, deve ser conectado à coluna vertebral, em um procedimento que exige uma ação completa e causa profunda dor e agonia, deixando o usuário atordoado por uma rodada. O medidor conta como uma vestimenta que fornece +2 em Fortitude. Além disso, uma vez conectado ele se ilumina em cores que vão do vermelho, na base, passando por amarelo no centro até verde no topo. Essas cores indicam a saúde do usuário, sendo verde a melhor condição. Além disso, se o usuário estiver sob um efeito paranormal, o item emitirá pulsos de luz lilás. Por fim, as informações fornecidas pelo item concedem um bônus de +5 em testes de Medicina feitos para auxiliar o usuário.",II,1,,SaH
83,Itens Paranormais,Pé de Morto,"Estas botas macabras foram costuradas com a pele de cadáveres amaldiçoados pela Morte. Com essa matéria grotesca, a bota mantém os passos do usuário leves e quase inaudíveis, como se ele fosse um fantasma se aproximando sem fazer barulho. Você recebe +5 em Furtividade e, em cenas de furtividade (SaH, p. 92), qualquer ação chamativa que envolva apenas se mover (como correr ou saltar) aumenta a visibilidade em apenas +1.",II,1,,SaH
84,Itens Paranormais,Pen Drive Selado,"Este dispositivo está gravado com sigilos dourados de Conhecimento. Graças à proteção desses sigilos, o pen drive não pode ser invadido ou afetado por rituais, seres e efeitos de Energia. Isso mantém seus arquivos protegidos, e permite que ele seja usado para invadir outros dispositivos sem ser contaminado pela entidade. Existem outros modelos de dispositivos selados, como HDs externos e celulares.",II,"0,5",,SaH
85,Itens Paranormais,Valete da Salvação,"Assim como um valete servia a seus senhores, esta carta — um valete de ouros pintada de dourado e coberta com sigilos de Conhecimento — serve para salvá-lo de uma situação complicada. Para usá-la, você deve gastar uma ação padrão para atirá-la ao ar. Ela então irá voar em alcance médio, apontando para a melhor rota de fuga dentro deste alcance, e deixará de existir. Se a carta for gasta em uma cena de perseguição (SaH, p. 90), você é bem-sucedido em uma ação de cortar caminho.",I,"0,5",,SaH
86,Itens Operacionais,Estatueta Religiosa,"Uma pequena estátua de uma figura religiosa importante. Durante uma cena de Interlúdio, você pode usar a ação ""Rezar"", onde você realiza uma simples prece à figura representada. Ao usar a ação Rezar, você recebe um bônus de +2d4 em um teste de Vontade realizado até o fim da missão. Você pode escolher gastar apenas 1d4 por vez em dois testes distintos, mas não pode acumular mais dados fazendo a ação “Rezar” diversas vezes.",0,1,,Homebrew
87,Itens Operacionais,"Pacote de Cartas Colecionáveis","Um pacote contendo cartas colecionáveis aleatórias. Usando uma ação de movimento, você abre o pacote. Jogue 1d4. Você recupera pontos de Sanidade e PE igual a metade do resultado do dado.",0,"0,5",,Homebrew
88,Itens Operacionais,Pesos,"Um par de pesos de academia. Durante uma cena de interlúdio, quando fizer a ação Exercitar-se, você recebe dois dados de bônus ao invés de apenas um. Além disso, você pode gastar dois dados em uma rolagem para mudar o bônus para +1d10.",0,2,,Homebrew
89,Itens Paranormais,Agrupador Ritualístico,"Um item pequeno — não maior que uma faca — e de aparência variada. Você pode gastar uma ação padrão para prender um componente ou um catalisador nele, e pode ter até quatro desses itens presos nele. Componentes e catalisadores presos no agrupador contam como empunhados, desde que o agrupador esteja sendo empunhado. Se você estiver empunhando o agrupador ritualístico, todos os componentes e catalisadores presos nele também contam como empunhados. Ocultistas usam este item para segurar vários componentes e catalisadores com uma só mão.",II,1,,AS
90,Itens Paranormais,"Amuleto Sinalizador de <Elemento>","Ao adquirir este amuleto preso a um cordão ou corrente, escolha um elemento (exceto Medo). Este item vestido emite um tênue sinal — pinga gotas vermelhas para Sangue, larga um rastro de fumaça para Morte (como um incenso), emite luz dourada para Conhecimento e muda de cor bruscamente para Energia — quando uma criatura do elemento respectivo entra em alcance longo dele, mesmo tendo paredes ou outros objetos no caminho.",II,1,,AS
91,Itens Paranormais,Catalisador Sofisticado e Horrorizado,"Este tipo de catalisador ritualístico (SaH, p. 44) foi intensamente horrorizado pelo Outro Lado e pode ser usado como uma vestimenta semelhante a uma bijuteria ou acessório, não sendo necessário empunhá-lo. Além disso, ele não é consumido quando usado. Uma vez por cena, você recebe 3d6. Você pode gastar 1d6, como ação livre, para:
Aumentar o dano de um ritual em +1d6.
Aumentar a recuperação de PV de um ritual em +1d6.
Aumentar a DT de um ritual em +1d6.
Você só pode gastar 1d6 no mesmo ritual, e apenas no momento em que conjurá-lo. No fim da cena, d6 não gastos são perdidos. Este é um item paranormal de categoria III que ocupa 1 espaço.",III,1,,AS
92,Itens Paranormais,"Crânio Dominador","O crânio nefasto de quem outrora conheceu a submissão, agora tomado pela podridão e pelas correntes que o aprisionavam em vida, transbordando o desejo de retribuir cada gota de sofrimento. Se estiver empunhando este item, você pode gastar uma ação padrão e 2 PE para invocar correntes que envolvem até dois alvos em alcance curto. Eles ficam paralisados (Reflexos DT Pre evita). A única forma de se libertar é com o rompimento da corrente (Defesa 10, RD 10, 20 PV). O crânio não pode ser usado novamente por 24 horas e quando voltar a ser útil, as correntes já existentes desaparecem.",III,1,"Reflexos, PRE",AS
93,Itens Paranormais,Gaiola do Corvo,"Uma gaiola de pássaros feita de ossos e originada da morte daquele que perdeu sua liberdade. Dentro dela, uma nuvem de cinzas inquieta sussurra os lamentos daqueles que se foram. Se estiver empunhando este item, você pode gastar uma ação padrão para colocá-lo no chão e abrir sua portinhola. Ao fazer isso, todo o solo em um raio de 18m da gaiola é tomado por Lodo e se torna terreno difícil. No começo de toda rodada, aqueles que se encontrarem no Lodo sofrem 3d10 pontos de dano de Morte (Fortitude DT Vig reduz à metade). Se alguém ficar morrendo enquanto está no Lodo, seu corpo é consumido, transformado em cinzas e levado para dentro da gaiola, onde permanecerá para sempre. Após isso, a gaiola se fecha e seus efeitos acabam. É possível fechar a gaiola a qualquer momento como ação padrão.
",IV,2,"Fortitude, VIG",AS
94,Itens Paranormais,Rubra,"Esta droga paranormal tem a aparência de um pó viscoso vermelho amarronzado. Você pode gastar uma ação de movimento para esfregar uma dose de rubra em uma ferida aberta (precisa estar com pelo menos 1 ponto de dano). Se fizer isso, a droga é absorvida e você recebe +5 em testes baseados em Força, Agilidade e Vigor e 10 pontos de vida temporários. No fim da cena, os bônus terminam e, a menos que consuma outra dose de rubra, você perde 1d3 pontos de atributos físicos (role 1d6 para cada ponto perdido; 1-2 Força, 3-4 Agilidade, 5-6 Vigor). Os pontos retornam após dormir em uma cena de interlúdio. Sempre que usa a droga, você deve fazer um teste de Vontade (DT 15 +2 para cada vez além da primeira que tiver usado a droga). Se falhar, fica insano por 1d3 rodadas, durante as quais vai tentar atacar os seres mais próximos de você, independente de quem sejam (ou gastar suas ações se aproximando deles, caso não consiga atacá-los de onde estiver). Se falhar no teste de Vontade por 10 ou mais, sua mente é destruída pela droga. Seu personagem passa a tentar atacar de forma animalesca qualquer pessoa próxima a ele, sem esperanças de voltar ao que era, e, se estiver em um local no qual a Membrana esteja fragilizada, pode até mesmo se tornar uma criatura do Outro Lado.",II,1,"Vontade, 15 (+2)",AS
